,country,year,sex,age,suicide_ratio,is_WC_year,is_host,in_finals,participant,won
1056,Argentina,1979,female,15-24 years,0.44814340588988477,False,False,False,False,False
1057,Argentina,1979,female,25-34 years,0.486929779600205,False,False,False,False,False
1058,Argentina,1979,female,35-54 years,0.41274658573596357,False,False,False,False,False
1059,Argentina,1979,female,5-14 years,0.05959475566150179,False,False,False,False,False
1060,Argentina,1979,female,55-74 years,0.6120434353405726,False,False,False,False,False
1061,Argentina,1979,female,75+ years,0.825,False,False,False,False,False
1062,Argentina,1979,male,15-24 years,0.5838509316770186,False,False,False,False,False
1063,Argentina,1979,male,25-34 years,0.9382839939789263,False,False,False,False,False
1064,Argentina,1979,male,35-54 years,1.2761442861473176,False,False,False,False,False
1065,Argentina,1979,male,5-14 years,0.046189376443418015,False,False,False,False,False
1066,Argentina,1979,male,55-74 years,2.132829373650108,False,False,False,False,False
1067,Argentina,1979,male,75+ years,4.646464646464646,False,False,False,False,False
1068,Argentina,1980,female,15-24 years,0.48539443764212,False,False,False,False,False
1069,Argentina,1980,female,25-34 years,0.43551899346721507,False,False,False,False,False
1070,Argentina,1980,female,35-54 years,0.4573025500968593,False,False,False,False,False
1071,Argentina,1980,female,5-14 years,0.06943105110896818,False,False,False,False,False
1072,Argentina,1980,female,55-74 years,0.6666337464816553,False,False,False,False,False
1073,Argentina,1980,female,75+ years,0.7221750212404419,False,False,False,False,False
1074,Argentina,1980,male,15-24 years,0.6089220315050965,False,False,False,False,False
1075,Argentina,1980,male,25-34 years,0.9719222462203023,False,False,False,False,False
1076,Argentina,1980,male,35-54 years,1.4481485081154633,False,False,False,False,False
1077,Argentina,1980,male,5-14 years,0.02266374556168316,False,False,False,False,False
1078,Argentina,1980,male,55-74 years,2.7688126380159677,False,False,False,False,False
1079,Argentina,1980,male,75+ years,5.187319884726224,False,False,False,False,False
1080,Argentina,1981,female,15-24 years,0.43994720633523976,False,False,False,False,False
1081,Argentina,1981,female,25-34 years,0.38067349926793553,False,False,False,False,False
1082,Argentina,1981,female,35-54 years,0.6015937509842829,False,False,False,False,False
1083,Argentina,1981,female,5-14 years,0.05422573398404214,False,False,False,False,False
1084,Argentina,1981,female,55-74 years,0.6192396313364056,False,False,False,False,False
1085,Argentina,1981,female,75+ years,0.6215469613259669,False,False,False,False,False
1086,Argentina,1981,male,15-24 years,0.7325222755311857,False,False,False,False,False
1087,Argentina,1981,male,25-34 years,1.0655503757967844,False,False,False,False,False
1088,Argentina,1981,male,35-54 years,1.7311222229255014,False,False,False,False,False
1089,Argentina,1981,male,5-14 years,0.04515692029803567,False,False,False,False,False
1090,Argentina,1981,male,55-74 years,2.9277069021916913,False,False,False,False,False
1091,Argentina,1981,male,75+ years,5.36115569823435,False,False,False,False,False
1092,Argentina,1982,female,15-24 years,0.39865715484683173,True,False,False,True,False
1093,Argentina,1982,female,25-34 years,0.351947442515251,True,False,False,True,False
1094,Argentina,1982,female,35-54 years,0.37114636336426216,True,False,False,True,False
1095,Argentina,1982,female,5-14 years,0.023014959723820484,True,False,False,True,False
1096,Argentina,1982,female,55-74 years,0.7043517272319425,True,False,False,True,False
1097,Argentina,1982,female,75+ years,0.6611570247933884,True,False,False,True,False
1098,Argentina,1982,male,15-24 years,0.61084142394822,True,False,False,True,False
1099,Argentina,1982,male,25-34 years,0.9417652411282985,True,False,False,True,False
1100,Argentina,1982,male,35-54 years,1.3432835820895521,True,False,False,True,False
1101,Argentina,1982,male,5-14 years,0.04449388209121246,True,False,False,True,False
1102,Argentina,1982,male,55-74 years,2.4283559577677223,True,False,False,True,False
1103,Argentina,1982,male,75+ years,4.9147727272727275,True,False,False,True,False
1104,Argentina,1983,female,15-24 years,0.33030553261767137,False,False,False,False,False
1105,Argentina,1983,female,25-34 years,0.3002309468822171,False,False,False,False,False
1106,Argentina,1983,female,35-54 years,0.45963464938126103,False,False,False,False,False
